"","long","lat","group","order","region","subregion","IS","DS","TS"
"1058",-86.6484069824219,34.0967178344727,22,1058,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1059",-86.6827850341797,34.0967178344727,22,1059,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1060",-86.6827850341797,34.0737991333008,22,1060,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1061",-86.6999740600586,34.039421081543,22,1061,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1062",-86.7171630859375,34.03369140625,22,1062,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1063",-86.7286224365234,34.0107727050781,22,1063,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1064",-86.7458114624023,34.0050468444824,22,1064,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1065",-86.7630004882812,33.9935836791992,22,1065,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1066",-86.7744598388672,33.9706649780273,22,1066,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1067",-86.814567565918,33.9477462768555,22,1067,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1068",-86.8317489624023,33.9534797668457,22,1068,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1069",-86.8432083129883,33.9477462768555,22,1069,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1070",-86.8432083129883,33.9420204162598,22,1070,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1071",-86.8546752929688,33.9362907409668,22,1071,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1072",-86.8775863647461,33.9362907409668,22,1072,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1073",-86.889045715332,33.9248313903809,22,1073,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1074",-86.8947830200195,33.9248313903809,22,1074,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1075",-86.9119644165039,33.9133720397949,22,1075,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1076",-86.9119644165039,33.890453338623,22,1076,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1077",-86.9119644165039,33.8789939880371,22,1077,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1078",-86.9291534423828,33.8789939880371,22,1078,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1079",-86.9406204223633,33.8789939880371,22,1079,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1080",-86.9578018188477,33.8618049621582,22,1080,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1167",-85.8749160766602,34.2055816650391,25,1167,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1168",-86.1040954589844,34.211311340332,25,1168,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1169",-86.1040954589844,34.3889274597168,25,1169,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1170",-86.1040954589844,34.4233016967773,25,1170,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1171",-86.0983657836914,34.4347648620605,25,1171,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1172",-86.0697174072266,34.4634094238281,25,1172,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1173",-86.0467987060547,34.4748725891113,25,1173,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1174",-86.0181503295898,34.4748725891113,25,1174,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1175",-85.9952392578125,34.4748725891113,25,1175,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1176",-85.9723129272461,34.4977912902832,25,1176,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1177",-85.9436721801758,34.5035171508789,25,1177,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1178",-85.8921051025391,34.5493545532227,25,1178,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1179",-85.8061599731445,34.6123809814453,25,1179,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1180",-85.7775115966797,34.6410293579102,25,1180,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1181",-85.7717819213867,34.663948059082,25,1181,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1182",-85.7488632202148,34.6754035949707,25,1182,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1183",-85.6801071166992,34.7327003479004,25,1183,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1184",-85.6399993896484,34.7785377502441,25,1184,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1185",-85.628547668457,34.807186126709,25,1185,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1186",-85.628547668457,34.8358345031738,25,1186,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1187",-85.5884399414062,34.8415641784668,25,1187,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1188",-85.5426025390625,34.6181106567383,25,1188,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1189",-85.5597839355469,34.6009216308594,25,1189,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1190",-85.5597839355469,34.5837326049805,25,1190,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1191",-85.5769805908203,34.5550842285156,25,1191,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1192",-85.5941619873047,34.5378952026367,25,1192,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1193",-85.6170806884766,34.5035171508789,25,1193,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1194",-85.6170806884766,34.492057800293,25,1194,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1195",-85.5941619873047,34.492057800293,25,1195,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1196",-85.5769805908203,34.4462203979492,25,1196,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1197",-85.5827102661133,34.4347648620605,25,1197,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1198",-85.5998916625977,34.4175758361816,25,1198,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1199",-85.63427734375,34.3774681091309,25,1199,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1200",-85.6457290649414,34.3660087585449,25,1200,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1201",-85.6686553955078,34.3717384338379,25,1201,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1202",-85.6743850708008,34.360279083252,25,1202,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1203",-85.6743850708008,34.3373603820801,25,1203,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
